name,year,Countries,Director,Genre,Time,IMDb,id
A Beautiful Mind,2001,USA,??? ??????,"?????, ?????????, ?????????",135,"8,20",145
Knockin' on Heaven's Door,1997,Germany,????? ??,"?????, ???????, ????????",87,"8,00",146
La vita Š bella,1997,Italy,??????? ???????,"?????, ???????, ???????",116,"8,60",147
Leon,1994,France,??? ??????,"???????, ?????, ????????",133,"8,60",148
The Lion King,1994,USA,"?????? ??????, ??? ???????","??????????, ??????, ?????",88,"8,50",149
Inception,2010,"USA, UK",????????? ?????,"??????????, ??????, ???????",148,"8,80",150
Intouchables,2011,France,"?????? ?????, ???? ????????","?????, ???????, ?????????",112,"8,50",151
The Green Mile,1999,USA,????? ????????,"???????, ?????, ????????",189,"8,50",152
The Shawshank Redemption,1994,USA,????? ????????,?????,142,"9,30",153
Ryuzo to 7 nin no kobun tachi,2015,Japon,?????? ??????,"??????, ???????",125,"5,60",154
Harry Potter and the Deathly Hallows: Part 1,2010,"UK, USA",????? ?????,"???????, ????????, ???????????",146,"7,70",155
Harry Potter and the Chamber of Secrets,2002,"UK, USA, Germany",???? ????????,"???????, ????????, ???????????",161,"7,40",156
La migliore offerta,2012,Italy,???????? ?????????,"???????, ?????, ????????",131,"7,80",157
August: Osage County,2013,USA,???? ?????,?????,121,"7,20",158
"House, M.D.",2004 ? 2012,USA,"???? ??????, ????? ???????, ????? ????????","?????, ????????",43,"8,80",159
